Committee,Subcommittee,Chair,Ranking Member
Appropriations,"Agriculture, Rural Development, Food and Drug Administration and Related Agencies",Tammy Baldwin (D),John Hoeven (R)
Appropriations,"Commerce, Justice, Science and Related Agencies",Jeanne Shaheen (D),Jerry Moran (R)
Appropriations,Defense,Jon Tester (D),TBD
Appropriations,Energy and Water Development,Dianne Feinstein (D),John Kennedy (R)
Appropriations,Financial Services and General Government,Chris Van Hollen (D),Cindy Hyde)
Appropriations,Homeland Security,Chris Murphy (D),Shelley Moore Capito (R)
Appropriations,"Interior, Environment and Related Agencies",Jeff Merkley (D),Lisa Murkowski (R)
Appropriations,"Labor, Health and Human Services, Education and Related Agencies",Patty Murray (D),TBD
Appropriations,Legislative Branch,Jack Reed (D),Mike Braun (R)
Appropriations,"Military Construction, Veterans Affairs and Related Agencies",Martin Heinrich (D),John Boozman (R)
Appropriations,"State, Foreign Operations and Related Programs",Chris Coons (D),Lindsey Graham (R)
Appropriations,"Transportation, Housing and Urban Development and Related Agencies",Brian Schatz (D),Susan Collins (R)
Armed Services,,Mike Rogers (R),Adam Smith (D)
Armed Services,"Cyber, Innovative Technologies and Information Systems",Jim Banks (R),TBD
Armed Services,Intelligence and Special Operations,Trent Kelly (R),Ruben Gallego (D)
Armed Services,Military Personnel,Mike Gallagher (R),TBD
Armed Services,Readiness,Michael Waltz (R),John Garamendi (D)
Armed Services,Seapower and Projection Forces,Rob Wittman (R),Joe Courtney (D)
Armed Services,Strategic Forces,Doug Lamborn (R),TBD
Armed Services,Tactical Air and Land Forces,TBD,Donald Norcross (D)
Armed Services,,Jack Reed (D),Roger Wicker (R)
Armed Services,Airland,Tammy Duckworth (D),Tom Cotton (R)
Armed Services,Cybersecurity,Joe Manchin (D),Mike Rounds (R)
Armed Services,Emerging Threats and Capabilities,Mark Kelly (D),Joni Ernst (R)
Armed Services,Personnel,Kirsten Gillibrand (D),Thom Tillis (R)
Armed Services,Readiness and Management Support,Tim Kaine (D),Dan Sullivan (R)
Armed Services,Seapower,Mazie Hirono (D),Kevin Cramer (R)
Armed Services,Strategic Forces,Angus King (I),Deb Fischer (R)
"Banking, Housing and Urban Affairs",,Sherrod Brown (D),Tim Scott (R)
"Banking, Housing and Urban Affairs",Economic Policy,Elizabeth Warren (D),John Kennedy (R)
"Banking, Housing and Urban Affairs",Financial Institutions and Consumer Protection,Raphael Warnock (D),Thom Tillis (R)
"Banking, Housing and Urban Affairs","Housing, Transportation and Community Development",Tina Smith (D),Mike Rounds (R)
"Banking, Housing and Urban Affairs",National Security and International Trade and Finance,Mark Warner (D),Bill Hagerty (R)
"Banking, Housing and Urban Affairs","Securities, Insurance and Investment",Bob Menendez (D),Tim Scott (R)
Budget,,Jodey Arrington (R),Brendan Boyle (D)
Budget,,Sheldon Whitehouse (D),Chuck Grassley (R)
"Commerce, Science and Transportation",,Maria Cantwell (D),Ted Cruz (R)
"Commerce, Science and Transportation","Aviation Safety, Operations and Innovation",Kyrsten Sinema (I),Ted Cruz (R)
"Commerce, Science and Transportation","Communications, Media and Broadband",Ben Ray Lujan (D),John Thune (R)
"Commerce, Science and Transportation","Consumer Protection, Product Safety and Data Security",Richard Blumenthal (D),Marsha Blackburn (R)
"Commerce, Science and Transportation","Oceans, Fisheries, Climate Change and Manufacturing",Tammy Baldwin (D),Dan Sullivan (R)
"Commerce, Science and Transportation",Space and Science,John Hickenlooper (D),Cynthia Lummis (R)
"Commerce, Science and Transportation","Surface Transportation, Maritime, Freight and Ports",Gary Peters (D),Deb Fischer (R)
"Commerce, Science and Transportation","Tourism, Trade and Export Promotion",Jacky Rosen (D),Rick Scott (R)
Education and the Workforce,,Virginia Foxx (R),Bobby Scott (D)
Education and the Workforce,"Early Childhood, Elementary and Secondary Education",Burgess Owens (R),Gregorio Sablan (D)
Education and the Workforce,"Health, Employment, Labor and Pensions",Rick Allen (R),Mark DeSaulnier (D)
Education and the Workforce,Higher Education and Workforce Investment,Mariannette Miller),Frederica Wilson (D)
Education and the Workforce,Workforce Protections,TBD,Alma Adams (D)
Energy and Commerce,,Cathy McMorris Rodgers (R),Frank Pallone (D)
Energy and Commerce,Communications and Technology,Bob Latta (R),TBD
Energy and Commerce,Consumer Protection and Commerce,Gus Bilirakis (R),Jan Schakowsky (D)
Energy and Commerce,Energy,TBD,TBD
Energy and Commerce,Environment and Climate Change,TBD,Paul Tonko (D)
Energy and Commerce,Health,Brett Guthrie (R),Anna Eshoo (D)
Energy and Commerce,Oversight and Investigations,Morgan Griffith (R),Diana DeGette (D)
Energy and Natural Resources,,Joe Manchin (D),John Barrasso (R)
Energy and Natural Resources,Energy,Mazie Hirono (D),John Hoeven (R)
Energy and Natural Resources,National Parks,Angus King (I),Steve Daines (R)
Energy and Natural Resources,"Public Lands, Forests and Mining",Catherine Cortez Masto (D),Mike Lee (R)
Energy and Natural Resources,Water and Power,Ron Wyden (D),Cindy Hyde)
Environment and Public Works,,Tom Carper (D),Shelley Moore Capito (R)
Environment and Public Works,"Chemical Safety, Waste Management, Environmental Justice and Regulatory Oversight",Jeff Merkley (D),Roger Wicker (R)
Environment and Public Works,"Clean Air, Climate and Nuclear Safety",Ed Markey (D),TBD
Environment and Public Works,"Fisheries, Water and Wildlife",Tammy Duckworth (D),Cynthia Lummis (R)
Environment and Public Works,Transportation and Infrastructure,Ben Cardin (D),Kevin Cramer (R)
Ethics,,Michael Guest (R),Susan Wild (D)
Ethics ,,Chris Coons (D),James Lankford (R)
Finance,,Ron Wyden (D),Mike Crapo (R)
Finance,"Energy, Natural Resources and Infrastructure",Michael Bennet (D),James Lankford (R)
Finance,Fiscal Responsibility and Economic Growth,Elizabeth Warren (D),Bill Cassidy (R)
Finance,Health Care,Debbie Stabenow (D),Steve Daines (R)
Finance,"International Trade, Customs and Global Competitiveness",Tom Carper (D),John Cornyn (R)
Finance,"Social Security, Pensions and Family Policy",Sherrod Brown (D),Todd Young (R)
Finance,Taxation and IRS Oversight,Sheldon Whitehouse (D),John Thune (R)
Financial Services,,Patrick McHenry (R),Maxine Waters (D)
Financial Services,Artificial Intelligence ,TBD,Bill Foster (D)
Financial Services,Consumer Protection and Financial Institutions,Blaine Luetkemeyer (R),TBD
Financial Services,Diversity and Inclusion,Ann Wagner (R),Joyce Beatty (D)
Financial Services,Financial Technology ,Warren Davidson (R),Stephen Lynch (D)
Financial Services,"Housing, Community Development and Insurance",French Hill (R),Emanuel Cleaver (D)
Financial Services,"Investor Protection, Entrepreneurship and Capital Markets",Bill Huizenga (R),Brad Sherman (D)
Financial Services,"National Security, International Development and Monetary Policy",Andy Barr (R),Jim Himes (D)
Financial Services,Oversight and Investigations,Tom Emmer (R),Al Green (D)
Foreign Affairs,,Mike McCaul (R),Gregory Meeks (D)
Foreign Affairs,"Africa, Global Health, Global Human Rights and International Organizations",Chris Smith (R),TBD
Foreign Affairs,"Asia, the Pacific, Central Asia and Nonproliferation",TBD,Ami Bera (D)
Foreign Affairs,"Europe, Energy, the Environment and Cyber",Brian Fitzpatrick (R),Bill Keating (D)
Foreign Affairs,"International Development, International Organizations and Global Corporate Social Impact",Nicole Malliotakis (R),Joaquin Castro (D)
Foreign Affairs,"Middle East, North Africa and Global Counterterrorism",Joe Wilson (R),David Cicilline (D)
Foreign Affairs,"Western Hemisphere, Civilian Security, Migration and International Economic Policy",Mark Green (R),TBD
Foreign Relations,,Bob Menendez (D),Jim Risch (R)
Foreign Relations,Africa and Global Health Policy,Chris Van Hollen (D),Mike Rounds (R)
Foreign Relations,"East Asia, the Pacific and International Cybersecurity Policy",Ed Markey (D),Mitt Romney (R)
Foreign Relations,Europe and Regional Security Cooperation,Jeanne Shaheen (D),Ron Johnson (R)
Foreign Relations,"Multilateral International Development, Multilateral Institutions and International Economic, Energy and Environmental Policy",Chris Coons (D),TBD
Foreign Relations,"Near East, South Asia, Central Asia and Counterterrorism",Chris Murphy (D),Todd Young (R)
Foreign Relations,"State Department and USAID Management, International Operations and Bilateral International Development",Ben Cardin (D),Bill Hagerty (R)
Foreign Relations,"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights and Global Women's Issues",Tim Kaine (D),Marco Rubio (R)
"Health, Education, Labor and Pensions",,Bernie Sanders (I),Bill Cassidy (R)
"Health, Education, Labor and Pensions",Children and Families,Bob Casey (D),Bill Cassidy (R)
"Health, Education, Labor and Pensions",Employment and Workplace Safety,John Hickenlooper (D),Mike Braun (R)
"Health, Education, Labor and Pensions",Primary Health and Retirement Security,Bernie Sanders (I),Susan Collins (R)
Homeland Security,,Mark Green (R),Bennie Thompson (D)
Homeland Security,"Border Security, Facilitation and Operations",Clay Higgins (R),Nanette BarragÃ¡n (D)
Homeland Security,"Cybersecurity, Infrastructure Protection and Innovation",Andrew Garbarino (R),Yvette Clarke (D)
Homeland Security,"Emergency Preparedness, Response and Recovery",Kat Cammack (R),TBD
Homeland Security,Intelligence and Counterterrorism,August Pfluger (R),Elissa Slotkin (D)
Homeland Security,"Oversight, Management and Accountability",TBD,Lou Correa (D)
Homeland Security,Transportation and Maritime Security,Carlos Gimenez (R),Bonnie Watson Coleman (D)
Homeland Security and Governmental Affairs,,Gary Peters (D),Rand Paul (R)
Homeland Security and Governmental Affairs,Emerging Threats and Spending Oversight,Maggie Hassan (D),TBD
Homeland Security and Governmental Affairs,Government Operations and Border Management,Kyrsten Sinema (I),James Lankford (R)
Homeland Security and Governmental Affairs,Investigations ,Jon Ossoff (D),Ron Johnson (R)
House Administration,,Bryan Steil (R),Joe Morelle (D)
House Administration,Congressional Mailing Commission ,Kat Cammack (R),Mary Gay Scanlon (D)
House Administration,Elections,Bryan Steil (R),TBD
Indian Affairs ,,Brian Schatz (D),Lisa Murkowski (R)
Intelligence ,,Mike Turner (R),Jim Himes (D)
Intelligence ,"Counterterrorism, Counterintelligence and Counterproliferation",Rick Crawford (R),AndrÃ© Carson (D)
Intelligence ,Defense Intelligence and Warfighter Support,Brad Wenstrup (R),TBD
Intelligence ,Intelligence Modernization and Readiness,TBD,TBD
Intelligence ,Strategic Technologies and Advanced Research,Chris Stewart (R),TBD
Intelligence ,,Mark Warner (D),Marco Rubio (R)
International Narcotics Control ,,Sheldon Whitehouse (D),John Cornyn (R)
Judiciary,,Jim Jordan (R),Jerry Nadler (D)
Judiciary,"Antitrust, Commercial and Administrative Law",Thomas Massie (R),David Cicilline (D)
Judiciary,"Constitution, Civil Rights and Civil Liberties",Mike Johnson (R),Steve Cohen (D)
Judiciary,"Courts, Intellectual Property and the Internet",Darrell Issa (R),Hank Johnson (D)
Judiciary,"Crime, Terrorism and Homeland Security",Andy Biggs (R),Sheila Jackson Lee (D)
Judiciary,Immigration and Citizenship,Tom McClintock (R),Zoe Lofgren (D)
Judiciary,Weaponization of the Federal Government ,Jim Jordan (R),Stacey Plaskett (D)
Judiciary,,Dick Durbin (D),Lindsey Graham (R)
Judiciary,"Competition Policy, Antitrust and Consumer Rights",Amy Klobuchar (D),Mike Lee (R)
Judiciary,The Constitution,Richard Blumenthal (D),Ted Cruz (R)
Judiciary,Crime and Terrorism,Cory Booker (D),Tom Cotton (R)
Judiciary,"Federal Courts, Oversight, Agency Action and Federal Rights",Sheldon Whitehouse (D),John Kennedy (R)
Judiciary,Human Rights and the Law,Dianne Feinstein (D),Josh Hawley (R)
Judiciary,"Immigration, Citizenship and Border Safety",Alex Padilla (D),John Cornyn (R)
Judiciary,Intellectual Property,TBD,Thom Tillis (R)
Judiciary,"Privacy, Technology and the Law",Chris Coons (D),Ben Sasse (R)
Natural Resources,,Bruce Westerman (R),RaÃºl Grijalva (D)
Natural Resources,Energy and Mineral Resources,Peter Stauber (R),TBD
Natural Resources,Indigenous Peoples of the United States,Jay Obernolte (R),Teresa Leger Fernandez (D)
Natural Resources,"National Parks, Forests and Public Lands",Russ Fulcher (R),Joe Neguse (D)
Natural Resources,Oversight and Investigations,Blake Moore (R),Katie Porter (D)
Natural Resources,"Water, Oceans and Wildlife",Cliff Bentz (R),Jared Huffman (D)
Oversight and Accountability,,Jim Comer (R),Jamie Raskin (D)
Oversight and Accountability,Coronavirus Pandemic ,Brad Wenstrup (R),Raul Ruiz (D)
Oversight and Accountability,Economic and Consumer Policy,Michael Cloud (R),Raja Krishnamoorthi (D)
Oversight and Accountability,Environment,Ralph Norman (R),Ro Khanna (D)
Oversight and Accountability,Government Operations,TBD,Gerry Connolly (D)
Oversight and Accountability,National Security,Glenn Grothman (R),Stephen Lynch (D)
Rules,,Tom Cole (R),Jim McGovern (D)
Rules,Expedited Procedures,Michelle Fischbach (R),Jamie Raskin (D)
Rules,Legislative and Budget Process,Michael Burgess (R),Joe Morelle (D)
Rules,Rules and Organization of the House,Guy Reschenthaler (R),Norma Torres (D)
Rules and Administration,,Amy Klobuchar (D),Deb Fischer (R)
"Science, Space, and Technology",,Frank Lucas (R),Zoe Lofgren (D)
"Science, Space, and Technology",Energy,Randy Weber (R),Jamaal Bowman (D)
"Science, Space, and Technology",Environment,Stephanie Bice (R),Mikie Sherrill (D)
"Science, Space, and Technology",Investigations and Oversight,Jay Obernolte (R),Bill Foster (D)
"Science, Space, and Technology",Research and Technology,Randy Feenstra (R),Haley Stevens (D)
"Science, Space, and Technology",Space and Aeronautics,Brian Babin (R),Don Beyer (D)
Small Business,,Roger Williams (R),Nydia VelÃ¡zquez (D)
Small Business,Contracting and Infrastructure,Maria Salazar (R),Kweisi Mfume (D)
Small Business,"Economic Growth, Tax and Capital Access",Dan Meuser (R),Sharice Davids (D)
Small Business,"Innovation, Entrepreneurship, and Workforce Development",Young Kim (R),Jason Crow (D)
Small Business,"Investigations, Oversight and Regulations",Beth Van Duyne (R),Dean Phillips (D)
Small Business,"Underserved, Agricultural and Rural Business Development",Claudia Tenney (R),Jared Golden (D)
Small Business and Entrepreneurship,,Ben Cardin (D),Joni Ernst (R)
Strategic Competition between the United States and the Chinese Communist Party ,,Mike Gallagher (R),Raja Krishnamoorthi (D)
Tom Lantos Human Rights Commission,,Chris Smith (R),Jim McGovern (D)
Transportation and Infrastructure,,Sam Graves (R),Rick Larsen (D)
Transportation and Infrastructure,Aviation,Garret Graves (R),Rick Larsen (D)
Transportation and Infrastructure,Coast Guard and Maritime Transportation,Bob Gibbs (R),Salud Carbajal (D)
Transportation and Infrastructure,"Economic Development, Public Buildings and Emergency Management",Daniel Webster (R),Dina Titus (D)
Transportation and Infrastructure,Highways and Transit,TBD,Eleanor Holmes Norton (D)
Transportation and Infrastructure,"Railroads, Pipelines and Hazardous Materials",Rick Crawford (R),Donald Payne Jr. (D)
Transportation and Infrastructure,Water Resources and Environment,David Rouzer (R),Grace Napolitano (D)
Veterans' Affairs,,Mike Bost (R),Mark Takano (D)
Veterans' Affairs,Disability Assistance and Memorial Affairs,Troy Nehls (R),TBD
Veterans' Affairs,Economic Opportunity,Barry Moore (R),Mike Levin (D)
Veterans' Affairs,Health,Jack Bergman (R),Julia Brownley (D)
Veterans' Affairs,Oversight and Investigations,Tracey Mann (R),Chris Pappas (D)
Veterans' Affairs,Technology Modernization,Matt Rosendale (R),Frank Mrvan (D)
Veterans' Affairs,,Jon Tester (D),Jerry Moran (R)
Ways and Means,,Jason Smith (R),Richard Neal (D)
Ways and Means,Health,Vern Buchanan (R),Lloyd Doggett (D)
Ways and Means,Oversight,TBD,Bill Pascrell (D)
Ways and Means,Select Revenue Measures,Mike Kelly (R),Mike Thompson (D)
Ways and Means,Social Security,David Schweikert (R),John Larson (D)
Ways and Means,Trade,Adrian Smith (R),Earl Blumenauer (D)
Ways and Means,Worker and Family Support,Brad Wenstrup (R),Danny Davis (D)
